ident;type;name;continent;iso_country;iso_region;municipality
EPGD;large_airport;Gdańsk Lech Wałęsa Airport;EU;PL;PL-PM;Gdańsk
EPGE;small_airport;Giże;EU;PL;PL-WN;Giże
EPGI;small_airport;Grudziadz Lisie Airport;EU;PL;PL-KP;
EPGL;small_airport;Lotnisko Gliwice-Trynek;EU;PL;PL-SL;Gliwice
EPGM;small_airport;Giżycko-Mazury Residence;EU;PL;PL-WN;Giżycko
EPGO;closed;Góraszka Airport;EU;PL;PL-MZ;Sulejówek
EPGY;small_airport;Grady Airport;EU;PL;PL-MZ;
EPHN;small_airport;Narew;EU;PL;PL-PD;Narew
EPIN;small_airport;Inowroclaw Airfield;EU;PL;PL-KP;
EPIR;medium_airport;Inowroclaw Military Air Base;EU;PL;PL-KP;
EPIW;closed;Iwonicz Airfield;EU;PL;PL-PK;Krosno
EPJA;small_airport;Jastarnia Airport;EU;PL;PL-PM;Jastarnia
EPJG;small_airport;Jelenia Góra Glider Field;EU;PL;PL-DS;Jelenia Góra
EPJL;small_airport;Laszki Field;EU;PL;PL-PK;
EPJS;small_airport;Jeżów Sudecki Airport;EU;PL;PL-DS;Jelenia Góra
EPKA;small_airport;Kielce Maslow Airport;EU;PL;PL-SK;Kielce
EPKB;small_airport;Kazimierz Biskup Airport;EU;PL;PL-WP;
EPKC;closed;Kraków Rakowice-Czyżyny Airport;EU;PL;PL-MA;
EPKE;small_airport;Kȩtrzyn-Wilamowo Airport;EU;PL;PL-WN;Kȩtrzyn
EPKI;small_airport;Kikity;EU;PL;PL-WN;
EPKK;large_airport;Kraków John Paul II International Airport;EU;PL;PL-MA;Kraków
EPKL;small_airport;Krasocin Field;EU;PL;PL-SK;
EPKM;small_airport;Muchowiec Airport;EU;PL;PL-SL;
EPKN;small_airport;Kamien Slaski Airport;EU;PL;PL-OP;
EPKO;small_airport;Koszalin Zegrze Pomorskie;EU;PL;PL-ZP;Zegrze Pomorskie
EPKP;small_airport;Pobiednik Wielki Airport;EU;PL;PL-MA;Kraków
EPKR;small_airport;Krosno Airport;EU;PL;PL-PK;Krosno
EPKS;medium_airport;Krzesiny Military Air Base;EU;PL;PL-WP;
EPKT;large_airport;Katowice International Airport;EU;PL;PL-SL;Katowice
EPKW;small_airport;Bielsko-Bialo Kaniow Airfield;EU;PL;PL-SL;Czechowice-Dziedzice
EPLE;closed;Legnica Airport;EU;PL;PL-DS;
EPLK;medium_airport;Lask Military Air Base;EU;PL;PL-LD;
EPLL;medium_airport;Łódź Władysław Reymont Airport;EU;PL;PL-LD;Łódź
EPLN;small_airport;Łańsk / Gryźliny Airport;EU;PL;PL-WN;Olsztynek
EPLR;small_airport;Lublin Radwiec Airfield;EU;PL;PL-LU;
EPLS;medium_airport;Leszno-Strzyzewice Airport;EU;PL;PL-WP;Leszno
